p1,p2,g,alg,alarm,t,l,false_alarm,delay
0.01,0.01,50,random,logistic_topr,35,5,1,0
0.01,0.01,50,random,logistic_topr,19,1,1,0
0.01,0.01,50,random,logistic_topr,42,4,1,0
0.01,0.01,50,random,logistic_topr,43,1,1,0
0.01,0.01,50,random,logistic_topr,56,3,0,6
0.01,0.01,50,random,logistic_topr,66,1,0,16
0.01,0.01,50,random,logistic_topr,33,1,1,0
0.01,0.01,50,random,logistic_topr,76,1,0,26
0.01,0.01,50,random,logistic_topr,46,2,1,0
0.01,0.01,50,random,logistic_topr,49,5,1,0
0.01,0.01,50,random,logistic_topr,44,5,1,0
0.01,0.01,50,random,logistic_topr,31,5,1,0
0.01,0.01,50,random,logistic_topr,21,1,1,0
0.01,0.01,50,random,logistic_topr,35,3,1,0
0.01,0.01,50,random,logistic_topr,92,3,0,42
0.01,0.01,50,random,logistic_topr,11,1,1,0
0.01,0.01,50,random,logistic_topr,32,4,1,0
0.01,0.01,50,random,logistic_topr,38,3,1,0
0.01,0.01,50,random,logistic_topr,16,2,1,0
0.01,0.01,50,random,logistic_topr,27,2,1,0
0.01,0.01,50,random,logistic_topr,24,4,1,0
0.01,0.01,50,random,logistic_topr,27,1,1,0
0.01,0.01,50,random,logistic_topr,44,5,1,0
0.01,0.01,50,random,logistic_topr,55,2,0,5
0.01,0.01,50,random,logistic_topr,16,3,1,0
0.01,0.01,50,random,logistic_topr,26,2,1,0
0.01,0.01,50,random,logistic_topr,30,1,1,0
0.01,0.01,50,random,logistic_topr,69,1,0,19
0.01,0.01,50,random,logistic_topr,37,5,1,0
0.01,0.01,50,random,logistic_topr,28,3,1,0
0.01,0.01,50,random,logistic_topr,80,2,0,30
0.01,0.01,50,random,logistic_topr,58,5,0,8
0.01,0.01,50,random,logistic_topr,59,1,0,9
0.01,0.01,50,random,logistic_topr,32,2,1,0
0.01,0.01,50,random,logistic_topr,18,2,1,0
0.01,0.01,50,random,logistic_topr,73,2,0,23
0.01,0.01,50,random,logistic_topr,109,5,0,59
0.01,0.01,50,random,logistic_topr,39,2,1,0
0.01,0.01,50,random,logistic_topr,39,3,1,0
0.01,0.01,50,random,logistic_topr,32,4,1,0
0.01,0.01,50,random,logistic_topr,38,4,1,0
0.01,0.01,50,random,logistic_topr,23,4,1,0
0.01,0.01,50,random,logistic_topr,85,1,0,35
0.01,0.01,50,random,logistic_topr,25,5,1,0
0.01,0.01,50,random,logistic_topr,9,5,1,0
0.01,0.01,50,random,logistic_topr,84,3,0,34
0.01,0.01,50,random,logistic_topr,69,1,0,19
0.01,0.01,50,random,logistic_topr,82,3,0,32
0.01,0.01,50,random,logistic_topr,38,3,1,0
0.01,0.01,50,random,logistic_topr,91,1,0,41
0.01,0.01,50,random,logistic_topr,18,1,1,0
0.01,0.01,50,random,logistic_topr,12,1,1,0
0.01,0.01,50,random,logistic_topr,56,3,0,6
0.01,0.01,50,random,logistic_topr,32,3,1,0
0.01,0.01,50,random,logistic_topr,59,1,0,9
0.01,0.01,50,random,logistic_topr,9,5,1,0
0.01,0.01,50,random,logistic_topr,36,5,1,0
0.01,0.01,50,random,logistic_topr,97,1,0,47
0.01,0.01,50,random,logistic_topr,81,1,0,31
0.01,0.01,50,random,logistic_topr,19,2,1,0
0.01,0.01,50,random,logistic_topr,39,3,1,0
0.01,0.01,50,random,logistic_topr,78,5,0,28
0.01,0.01,50,random,logistic_topr,34,2,1,0
0.01,0.01,50,random,logistic_topr,107,1,0,57
0.01,0.01,50,random,logistic_topr,25,1,1,0
0.01,0.01,50,random,logistic_topr,57,2,0,7
0.01,0.01,50,random,logistic_topr,33,3,1,0
0.01,0.01,50,random,logistic_topr,103,1,0,53
0.01,0.01,50,random,logistic_topr,105,1,0,55
0.01,0.01,50,random,logistic_topr,76,5,0,26
0.01,0.01,50,random,logistic_topr,12,1,1,0
0.01,0.01,50,random,logistic_topr,114,1,0,64
0.01,0.01,50,random,logistic_topr,47,3,1,0
0.01,0.01,50,random,logistic_topr,59,4,0,9
0.01,0.01,50,random,logistic_topr,38,3,1,0
0.01,0.01,50,random,logistic_topr,69,1,0,19
0.01,0.01,50,random,logistic_topr,34,3,1,0
0.01,0.01,50,random,logistic_topr,59,4,0,9
0.01,0.01,50,random,logistic_topr,46,2,1,0
0.01,0.01,50,random,logistic_topr,46,3,1,0
0.01,0.01,50,random,logistic_topr,39,1,1,0
0.01,0.01,50,random,logistic_topr,77,5,0,27
0.01,0.01,50,random,logistic_topr,17,4,1,0
0.01,0.01,50,random,logistic_topr,90,1,0,40
0.01,0.01,50,random,logistic_topr,33,5,1,0
0.01,0.01,50,random,logistic_topr,31,1,1,0
0.01,0.01,50,random,logistic_topr,7,4,1,0
0.01,0.01,50,random,logistic_topr,104,1,0,54
0.01,0.01,50,random,logistic_topr,21,3,1,0
0.01,0.01,50,random,logistic_topr,42,4,1,0
0.01,0.01,50,random,logistic_topr,53,4,0,3
0.01,0.01,50,random,logistic_topr,45,3,1,0
0.01,0.01,50,random,logistic_topr,38,2,1,0
0.01,0.01,50,random,logistic_topr,92,2,0,42
0.01,0.01,50,random,logistic_topr,99,1,0,49
0.01,0.01,50,random,logistic_topr,73,1,0,23
0.01,0.01,50,random,logistic_topr,82,1,0,32
0.01,0.01,50,random,logistic_topr,88,1,0,38
0.01,0.01,50,random,logistic_topr,84,1,0,34
0.01,0.01,50,random,logistic_topr,81,1,0,31
