p1,p2,g,alg,alarm,t,l,false_alarm,delay
0.01,0.02,1,thompson,logistic_topr,10,5,0,9
0.01,0.02,1,thompson,logistic_topr,96,1,0,95
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,12,1,0,11
0.01,0.02,1,thompson,logistic_topr,17,1,0,16
0.01,0.02,1,thompson,logistic_topr,27,1,0,26
0.01,0.02,1,thompson,logistic_topr,47,2,0,46
0.01,0.02,1,thompson,logistic_topr,82,2,0,81
0.01,0.02,1,thompson,logistic_topr,50,5,0,49
0.01,0.02,1,thompson,logistic_topr,14,1,0,13
0.01,0.02,1,thompson,logistic_topr,73,1,0,72
0.01,0.02,1,thompson,logistic_topr,36,1,0,35
0.01,0.02,1,thompson,logistic_topr,82,1,0,81
0.01,0.02,1,thompson,logistic_topr,36,2,0,35
0.01,0.02,1,thompson,logistic_topr,15,1,0,14
0.01,0.02,1,thompson,logistic_topr,42,1,0,41
0.01,0.02,1,thompson,logistic_topr,39,1,0,38
0.01,0.02,1,thompson,logistic_topr,30,1,0,29
0.01,0.02,1,thompson,logistic_topr,14,1,0,13
0.01,0.02,1,thompson,logistic_topr,76,1,0,75
0.01,0.02,1,thompson,logistic_topr,27,3,0,26
0.01,0.02,1,thompson,logistic_topr,61,1,0,60
0.01,0.02,1,thompson,logistic_topr,61,2,0,60
0.01,0.02,1,thompson,logistic_topr,47,1,0,46
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,57,2,0,56
0.01,0.02,1,thompson,logistic_topr,31,2,0,30
0.01,0.02,1,thompson,logistic_topr,20,3,0,19
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,14,1,0,13
0.01,0.02,1,thompson,logistic_topr,50,2,0,49
0.01,0.02,1,thompson,logistic_topr,22,5,0,21
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,34,1,0,33
0.01,0.02,1,thompson,logistic_topr,31,5,0,30
0.01,0.02,1,thompson,logistic_topr,36,1,0,35
0.01,0.02,1,thompson,logistic_topr,55,1,0,54
0.01,0.02,1,thompson,logistic_topr,89,1,0,88
0.01,0.02,1,thompson,logistic_topr,36,2,0,35
0.01,0.02,1,thompson,logistic_topr,108,1,0,107
0.01,0.02,1,thompson,logistic_topr,23,2,0,22
0.01,0.02,1,thompson,logistic_topr,47,1,0,46
0.01,0.02,1,thompson,logistic_topr,41,3,0,40
0.01,0.02,1,thompson,logistic_topr,79,1,0,78
0.01,0.02,1,thompson,logistic_topr,70,1,0,69
0.01,0.02,1,thompson,logistic_topr,32,2,0,31
0.01,0.02,1,thompson,logistic_topr,193,2,0,192
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,52,1,0,51
0.01,0.02,1,thompson,logistic_topr,102,5,0,101
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,75,1,0,74
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,59,1,0,58
0.01,0.02,1,thompson,logistic_topr,49,1,0,48
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,8,4,0,7
0.01,0.02,1,thompson,logistic_topr,25,3,0,24
