p1,p2,g,alg,alarm,t,l,false_alarm,delay
0.01,0.02,50,thompson,logistic_topr,9,5,1,0
0.01,0.02,50,thompson,logistic_topr,72,2,0,22
0.01,0.02,50,thompson,logistic_topr,38,1,1,0
0.01,0.02,50,thompson,logistic_topr,9,5,1,0
0.01,0.02,50,thompson,logistic_topr,53,2,0,3
0.01,0.02,50,thompson,logistic_topr,53,2,0,3
0.01,0.02,50,thompson,logistic_topr,9,5,1,0
0.01,0.02,50,thompson,logistic_topr,74,2,0,24
0.01,0.02,50,thompson,logistic_topr,150,2,0,100
0.01,0.02,50,thompson,logistic_topr,5,3,1,0
0.01,0.02,50,thompson,logistic_topr,46,2,1,0
0.01,0.02,50,thompson,logistic_topr,9,5,1,0
0.01,0.02,50,thompson,logistic_topr,51,1,0,1
0.01,0.02,50,thompson,logistic_topr,47,2,1,0
0.01,0.02,50,thompson,logistic_topr,51,3,0,1
0.01,0.02,50,thompson,logistic_topr,71,2,0,21
0.01,0.02,50,thompson,logistic_topr,12,1,1,0
0.01,0.02,50,thompson,logistic_topr,138,1,0,88
0.01,0.02,50,thompson,logistic_topr,14,3,1,0
0.01,0.02,50,thompson,logistic_topr,27,2,1,0
0.01,0.02,50,thompson,logistic_topr,21,2,1,0
0.01,0.02,50,thompson,logistic_topr,5,3,1,0
0.01,0.02,50,thompson,logistic_topr,34,3,1,0
0.01,0.02,50,thompson,logistic_topr,29,2,1,0
0.01,0.02,50,thompson,logistic_topr,93,2,0,43
0.01,0.02,50,thompson,logistic_topr,26,2,1,0
0.01,0.02,50,thompson,logistic_topr,24,4,1,0
0.01,0.02,50,thompson,logistic_topr,9,5,1,0
0.01,0.02,50,thompson,logistic_topr,127,2,0,77
0.01,0.02,50,thompson,logistic_topr,25,5,1,0
0.01,0.02,50,thompson,logistic_topr,34,5,1,0
0.01,0.02,50,thompson,logistic_topr,57,2,0,7
0.01,0.02,50,thompson,logistic_topr,94,1,0,44
0.01,0.02,50,thompson,logistic_topr,18,1,1,0
0.01,0.02,50,thompson,logistic_topr,11,1,1,0
0.01,0.02,50,thompson,logistic_topr,33,5,1,0
0.01,0.02,50,thompson,logistic_topr,7,4,1,0
0.01,0.02,50,thompson,logistic_topr,38,5,1,0
0.01,0.02,50,thompson,logistic_topr,85,2,0,35
0.01,0.02,50,thompson,logistic_topr,29,1,1,0
0.01,0.02,50,thompson,logistic_topr,18,2,1,0
0.01,0.02,50,thompson,logistic_topr,7,4,1,0
0.01,0.02,50,thompson,logistic_topr,25,2,1,0
0.01,0.02,50,thompson,logistic_topr,54,2,0,4
0.01,0.02,50,thompson,logistic_topr,7,4,1,0
0.01,0.02,50,thompson,logistic_topr,13,1,1,0
0.01,0.02,50,thompson,logistic_topr,3,2,1,0
0.01,0.02,50,thompson,logistic_topr,64,1,0,14
0.01,0.02,50,thompson,logistic_topr,76,2,0,26
0.01,0.02,50,thompson,logistic_topr,72,2,0,22
0.01,0.02,50,thompson,logistic_topr,50,1,0,0
0.01,0.02,50,thompson,logistic_topr,11,1,1,0
0.01,0.02,50,thompson,logistic_topr,15,3,1,0
0.01,0.02,50,thompson,logistic_topr,43,5,1,0
0.01,0.02,50,thompson,logistic_topr,92,2,0,42
0.01,0.02,50,thompson,logistic_topr,5,3,1,0
0.01,0.02,50,thompson,logistic_topr,9,5,1,0
0.01,0.02,50,thompson,logistic_topr,161,2,0,111
0.01,0.02,50,thompson,logistic_topr,46,5,1,0
0.01,0.02,50,thompson,logistic_topr,29,2,1,0
0.01,0.02,50,thompson,logistic_topr,36,2,1,0
0.01,0.02,50,thompson,logistic_topr,59,2,0,9
0.01,0.02,50,thompson,logistic_topr,168,1,0,118
0.01,0.02,50,thompson,logistic_topr,133,1,0,83
0.01,0.02,50,thompson,logistic_topr,185,2,0,135
