p1,p2,g,alg,alarm,t,l,false_alarm,delay
0.01,0.02,50,constant,logistic_topr,9,5,1,0
0.01,0.02,50,constant,logistic_topr,12,1,1,0
0.01,0.02,50,constant,logistic_topr,13,1,1,0
0.01,0.02,50,constant,logistic_topr,9,5,1,0
0.01,0.02,50,constant,logistic_topr,29,1,1,0
0.01,0.02,50,constant,logistic_topr,69,1,0,19
0.01,0.02,50,constant,logistic_topr,9,5,1,0
0.01,0.02,50,constant,logistic_topr,51,1,0,1
0.01,0.02,50,constant,logistic_topr,62,1,0,12
0.01,0.02,50,constant,logistic_topr,5,3,1,0
0.01,0.02,50,constant,logistic_topr,58,1,0,8
0.01,0.02,50,constant,logistic_topr,9,5,1,0
0.01,0.02,50,constant,logistic_topr,17,1,1,0
0.01,0.02,50,constant,logistic_topr,29,1,1,0
0.01,0.02,50,constant,logistic_topr,66,1,0,16
0.01,0.02,50,constant,logistic_topr,12,1,1,0
0.01,0.02,50,constant,logistic_topr,25,1,1,0
0.01,0.02,50,constant,logistic_topr,21,1,1,0
0.01,0.02,50,constant,logistic_topr,62,1,0,12
0.01,0.02,50,constant,logistic_topr,33,1,1,0
0.01,0.02,50,constant,logistic_topr,12,1,1,0
0.01,0.02,50,constant,logistic_topr,5,3,1,0
0.01,0.02,50,constant,logistic_topr,43,1,1,0
0.01,0.02,50,constant,logistic_topr,75,1,0,25
0.01,0.02,50,constant,logistic_topr,12,1,1,0
0.01,0.02,50,constant,logistic_topr,83,1,0,33
0.01,0.02,50,constant,logistic_topr,29,1,1,0
0.01,0.02,50,constant,logistic_topr,5,3,1,0
0.01,0.02,50,constant,logistic_topr,88,1,0,38
0.01,0.02,50,constant,logistic_topr,77,1,0,27
0.01,0.02,50,constant,logistic_topr,74,1,0,24
0.01,0.02,50,constant,logistic_topr,57,1,0,7
0.01,0.02,50,constant,logistic_topr,64,1,0,14
0.01,0.02,50,constant,logistic_topr,30,1,1,0
0.01,0.02,50,constant,logistic_topr,11,1,1,0
0.01,0.02,50,constant,logistic_topr,66,1,0,16
0.01,0.02,50,constant,logistic_topr,7,4,1,0
0.01,0.02,50,constant,logistic_topr,70,1,0,20
0.01,0.02,50,constant,logistic_topr,81,1,0,31
0.01,0.02,50,constant,logistic_topr,69,1,0,19
0.01,0.02,50,constant,logistic_topr,69,1,0,19
0.01,0.02,50,constant,logistic_topr,7,4,1,0
0.01,0.02,50,constant,logistic_topr,29,1,1,0
0.01,0.02,50,constant,logistic_topr,24,1,1,0
0.01,0.02,50,constant,logistic_topr,7,4,1,0
0.01,0.02,50,constant,logistic_topr,13,1,1,0
0.01,0.02,50,constant,logistic_topr,3,2,1,0
0.01,0.02,50,constant,logistic_topr,7,4,1,0
0.01,0.02,50,constant,logistic_topr,69,1,0,19
0.01,0.02,50,constant,logistic_topr,27,1,1,0
0.01,0.02,50,constant,logistic_topr,15,1,1,0
0.01,0.02,50,constant,logistic_topr,11,1,1,0
0.01,0.02,50,constant,logistic_topr,54,1,0,4
0.01,0.02,50,constant,logistic_topr,79,1,0,29
0.01,0.02,50,constant,logistic_topr,73,1,0,23
0.01,0.02,50,constant,logistic_topr,5,3,1,0
0.01,0.02,50,constant,logistic_topr,9,5,1,0
0.01,0.02,50,constant,logistic_topr,92,1,0,42
0.01,0.02,50,constant,logistic_topr,42,1,1,0
0.01,0.02,50,constant,logistic_topr,33,1,1,0
0.01,0.02,50,constant,logistic_topr,37,1,1,0
0.01,0.02,50,constant,logistic_topr,65,1,0,15
0.01,0.02,50,constant,logistic_topr,12,1,1,0
